,name,price,link
0,Porsche Carrera GT (Model Car),"3,230 yen",https://www.1999.co.jp/eng/10037630
1,Lotus Europa Special (Model Car),"3,325 yen",https://www.1999.co.jp/eng/10728250
2,Nissan Skyline 2000 GT-R Street Custom (Model Car),"3,325 yen",https://www.1999.co.jp/eng/10284023
3,Nissan Fairlady Z Heritage Edition (Model Car),"3,515 yen",https://www.1999.co.jp/eng/10559961
4,Nissan Fairlady Z (RZ34) (Model Car),"3,610 yen",https://www.1999.co.jp/eng/10913743
5,Toyota GR Supra (Model Car),"3,610 yen",https://www.1999.co.jp/eng/10653713
6,Ford GT (Model Car),"3,610 yen",https://www.1999.co.jp/eng/10589456
7,NSX (Model Car),"3,610 yen",https://www.1999.co.jp/eng/10411327
8,Nissan GT-R (Model Car),"3,610 yen",https://www.1999.co.jp/eng/10070243
9,Ford Mustang GT4 (Model Car),"3,800 yen",https://www.1999.co.jp/eng/10696233
10,Mercedes Benz SLR Mclaren (Model Car),"3,800 yen",https://www.1999.co.jp/eng/10050249
11,Nissan Fairlady 240ZG (Model Car),"3,990 yen",https://www.1999.co.jp/eng/10775707
12,Mercedes Benz 300 SL (Model Car),"3,990 yen",https://www.1999.co.jp/eng/10310910
13,Mercedes-Benz SLR McLaren 722 Edition (Model Car),"3,990 yen",https://www.1999.co.jp/eng/10111279
14,Mercedes AMG GT3 (Model Car),"4,085 yen",https://www.1999.co.jp/eng/10486950
15,Toyota Gazoo Racing TS050 Hybrid (Model Car),"4,465 yen",https://www.1999.co.jp/eng/10604565
16,GMA T.50 (Model Car),"4,500 yen 18%OFF",https://www.1999.co.jp/eng/10979480
17,McLaren Senna (Model Car),"4,750 yen",https://www.1999.co.jp/eng/10750939
18,Lexus LFA (Model Car),"4,750 yen",https://www.1999.co.jp/eng/10132081
